player,minutes_played,passes,completed_passes,shots,dribbles,tackles,interceptions,passes_per90,pass_accuracy,shots_per90,dribbles_per90,tackles_per90,interceptions_per90
Aaron Mooy,273,206,0,3,1,0,3,67.91208791208791,0.0,0.989010989010989,0.32967032967032966,0.0,0.989010989010989
Abdalla Mahmoud El Said Bekhit,238,147,0,2,0,0,2,55.588235294117645,0.0,0.7563025210084033,0.0,0.0,0.7563025210084033
Abdiel Arroyo Molinar,185,6,0,0,1,0,1,2.9189189189189193,0.0,0.0,0.4864864864864865,0.0,0.4864864864864865
Abdullah Ibrahim Al Maiouf,93,35,0,0,0,0,0,33.87096774193548,0.0,0.0,0.0,0.0,0.0
Abdullah Ibrahim Otayf,250,257,0,2,4,0,9,92.52000000000001,0.0,0.72,1.44,0.0,3.24
Abdullahi Shehu,89,32,0,0,1,0,1,32.359550561797754,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798
Abel Enrique Aguilar Tapia,31,13,0,0,0,0,0,37.74193548387097,0.0,0.0,0.0,0.0,0.0
Achraf Hakimi Mouh,282,122,0,1,7,0,1,38.93617021276596,0.0,0.3191489361702128,2.2340425531914896,0.0,0.3191489361702128
Adem Ljajić,237,77,0,1,8,0,0,29.240506329113924,0.0,0.379746835443038,3.037974683544304,0.0,0.0
Adnan Januzaj,85,22,0,3,6,0,0,23.294117647058822,0.0,3.1764705882352944,6.352941176470589,0.0,0.0
Adolfo Abdiel Machado,91,32,0,0,0,0,2,31.64835164835165,0.0,0.0,0.0,0.0,1.978021978021978
Adrien Sebastian Perruchet Silva,253,160,0,2,1,0,1,56.916996047430835,0.0,0.7114624505928854,0.3557312252964427,0.0,0.3557312252964427
Ahmed Elsayed Ali Elsayed Hegazy,279,125,0,0,0,0,6,40.32258064516129,0.0,0.0,0.0,0.0,1.9354838709677418
Ahmed Fathy Abdel Meneim Ibrahim,278,168,0,1,1,0,5,54.38848920863309,0.0,0.3237410071942446,0.3237410071942446,0.0,1.618705035971223
Ahmed Khalil,93,7,0,0,1,0,1,6.774193548387096,0.0,0.0,0.9677419354838709,0.0,0.9677419354838709
Ahmed Musa,280,62,0,4,10,0,2,19.928571428571427,0.0,1.2857142857142856,3.2142857142857144,0.0,0.6428571428571428
Alan Dzagoev,145,21,0,2,0,0,0,13.034482758620689,0.0,1.2413793103448276,0.0,0.0,0.0
Albert Gudmundsson,91,2,0,0,0,0,0,1.978021978021978,0.0,0.0,0.0,0.0,0.0
Alberto Junior Rodríguez Valdelomar,138,56,0,2,1,0,2,36.52173913043478,0.0,1.3043478260869565,0.6521739130434783,0.0,1.3043478260869565
Albin Ekdal,428,169,0,3,11,0,8,35.53738317757009,0.0,0.6308411214953271,2.3130841121495327,0.0,1.6822429906542056
Aleksandar Kolarov,282,138,0,2,0,0,8,44.04255319148936,0.0,0.6382978723404256,0.0,0.0,2.5531914893617023
Aleksandar Mitrović,269,63,0,16,3,0,0,21.07806691449814,0.0,5.353159851301116,1.003717472118959,0.0,0.0
Aleksandar Prijović,97,3,0,0,0,0,0,2.7835051546391756,0.0,0.0,0.0,0.0,0.0
Aleksandr Erokhin,240,17,0,3,1,0,0,6.375,0.0,1.125,0.375,0.0,0.0
