player,match_id,competition_id,season_id,minutes_played,matches_played,passes,completed_passes,key_passes,assists,shots,shots_on_target,goals,xG,xA,dribbles,dribbles_successful,tackles,tackles_won,interceptions,clearances,blocks,aerial_duels,aerial_duels_won,pressures,fouls_committed,fouls_won,cards_yellow,cards_red,saves,clean_sheets,goals_conceded
Thierry Henry,3749052,2,44,91,1,40,0,0,1,3,3,1,0.342808968,0,11,5,0,0,1,0,4,0,0,14,1,3,0,0,0,0,0
Dennis Bergkamp,3749052,2,44,55,1,22,0,0,1,3,3,1,0.35975789,0,0,0,0,0,0,0,1,0,0,9,3,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749052,2,44,91,1,72,0,0,0,1,0,0,0.036047563,0,2,0,0,0,3,2,3,0,0,19,3,3,0,0,0,0,0
Ashley Cole,3749052,2,44,91,1,68,0,1,0,1,0,0,0.10293813,0,3,1,0,0,2,6,1,0,0,9,0,0,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749052,2,44,92,1,42,0,0,0,1,0,0,0.043912165,0,1,1,0,0,1,6,3,0,0,3,0,1,0,0,0,0,0
Lee Naylor,3749052,2,44,89,1,53,0,0,0,1,0,0,0.03855713,0,1,1,0,0,1,3,1,0,0,10,0,1,0,0,0,0,0
Paul Jones,3749052,2,44,91,1,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Rae,3749052,2,44,87,1,39,0,0,0,1,0,0,0.021412788,0,0,0,0,0,0,2,2,0,0,29,6,4,0,0,0,0,0
Denis Irwin,3749052,2,44,91,1,46,0,0,0,3,0,0,0.118036224,0,0,0,0,0,0,2,3,0,0,18,1,2,0,0,0,0,0
Colin Cameron,3749052,2,44,89,1,37,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,2,0,0,43,3,2,0,0,0,0,0
Paul Butler,3749052,2,44,89,1,27,0,0,0,1,0,0,0.06522111,0,0,0,0,0,2,8,1,0,0,5,0,0,0,0,0,0,0
Carl Cort,3749052,2,44,75,1,22,0,0,0,1,1,0,0.05153607,0,3,3,0,0,0,1,1,0,0,6,3,3,0,0,0,0,0
Kenny Miller,3749052,2,44,91,1,27,0,0,0,2,0,0,0.0331482794,0,3,2,0,0,0,3,1,0,0,15,2,1,0,0,0,0,0
Jody Craddock,3749052,2,44,85,1,15,0,1,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,6,1,1,0,0,0,0,0
Kolo Habib Touré,3749052,2,44,91,1,38,0,0,1,1,1,1,0.85131276,0,1,0,0,0,3,5,1,0,0,9,3,2,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749052,2,44,91,1,84,0,0,0,0,0,0,0.0,0,4,3,0,0,1,4,3,0,0,9,3,2,0,0,0,0,0
Patrick Vieira,3749052,2,44,92,1,60,0,1,0,0,0,0,0.0,0,1,0,0,0,0,2,2,0,0,23,5,4,0,0,0,0,0
Jens Lehmann,3749052,2,44,89,1,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Robert Pirès,3749052,2,44,91,1,64,0,1,0,0,0,0,0.0,0,6,3,0,0,0,0,0,0,0,14,2,3,0,0,0,0,0
Gilberto Aparecido da Silva,3749052,2,44,91,1,55,0,0,0,1,0,0,0.12560369,0,2,2,0,0,0,0,5,0,0,17,0,2,0,0,0,0,0
Ioan Viorel Ganea,3749052,2,44,91,1,21,0,0,1,3,1,1,0.3471165669999999,0,3,1,0,0,1,0,1,0,0,46,5,5,0,0,0,0,0
Mark Kennedy,3749052,2,44,89,1,36,0,0,0,1,0,0,0.026652494,0,1,0,0,0,0,1,1,0,0,20,2,1,0,0,0,0,0
José Antonio Reyes Calderón,3749052,2,44,90,1,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0
Steffen Iversen,3749052,2,44,91,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Henri Camara,3749522,2,44,85,1,29,0,0,0,1,0,0,0.023858244,0,2,2,0,0,2,1,1,0,0,24,1,2,0,0,0,0,0
Kenny Miller,3749522,2,44,76,1,27,0,0,0,1,1,0,0.26727,0,2,1,0,0,1,2,1,0,0,3,0,1,0,0,0,0,0
Colin Cameron,3749522,2,44,91,1,37,0,0,0,1,1,0,0.008235074,0,1,1,0,0,3,2,2,0,0,26,2,2,0,0,0,0,0
Lee Naylor,3749522,2,44,91,1,44,0,0,0,1,0,0,0.011188577,0,0,0,0,0,1,5,2,0,0,13,6,2,0,0,0,0,0
Kolo Habib Touré,3749522,2,44,92,1,79,0,0,0,0,0,0,0.0,0,4,4,0,0,0,5,2,0,0,7,0,1,0,0,0,0,0
Paul Ince,3749522,2,44,91,1,35,0,0,0,1,0,0,0.07628197,0,2,1,0,0,1,0,1,0,0,3,2,3,0,0,0,0,0
Ray Parlour,3749522,2,44,90,1,75,0,0,0,1,1,0,0.020648506,0,1,0,0,0,2,1,1,0,0,19,3,5,0,0,0,0,0
Mark Kennedy,3749522,2,44,92,1,29,0,0,0,1,0,0,0.02152702,0,1,1,0,0,0,2,3,0,0,14,2,2,0,0,0,0,0
Jens Lehmann,3749522,2,44,91,1,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Cygan,3749522,2,44,91,1,66,0,0,0,0,0,0,0.0,0,2,1,0,0,1,9,2,0,0,11,0,0,0,0,0,0,0
Thierry Henry,3749522,2,44,88,1,46,0,0,2,5,4,2,0.424216701,0,7,5,0,0,0,1,1,0,0,5,1,1,0,0,0,0,0
Oleg Luzhny,3749522,2,44,90,1,47,0,0,0,0,0,0,0.0,0,0,0,0,0,3,1,0,0,0,8,1,0,0,0,0,0,0
Patrick Vieira,3749522,2,44,91,1,87,0,1,0,0,0,0,0.0,0,4,4,0,0,0,0,1,0,0,34,5,4,0,0,0,0,0
Robert Pirès,3749522,2,44,71,1,34,0,0,0,1,0,0,0.03428903,0,2,1,0,0,0,0,2,0,0,10,0,1,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749522,2,44,90,1,50,0,0,0,2,0,0,0.153833336,0,1,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0
Fredrik Ljungberg,3749522,2,44,71,1,39,0,0,0,1,0,0,0.08716674,0,1,0,0,0,0,0,1,0,0,13,2,4,0,0,0,0,0
Gaël Clichy,3749522,2,44,91,1,64,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,3,0,0,29,1,0,0,0,0,0,0
Alex Rae,3749522,2,44,90,1,50,0,0,0,0,0,0,0.0,0,0,0,0,0,4,1,2,0,0,33,4,2,0,0,0,0,0
Dennis Bergkamp,3749522,2,44,91,1,60,0,0,0,4,3,0,0.231935435,0,4,3,0,0,1,0,0,0,0,13,0,3,0,0,0,0,0
Jody Craddock,3749522,2,44,87,1,18,0,0,0,1,0,0,0.19786966,0,0,0,0,0,2,3,5,0,0,10,1,0,0,0,0,0,0
Paul Butler,3749522,2,44,91,1,15,0,0,0,0,0,0,0.0,0,0,0,0,0,1,11,0,0,0,5,2,0,0,0,0,0,0
Michael Oakes,3749522,2,44,92,1,27,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749522,2,44,91,1,11,0,1,0,1,0,0,0.032320082,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0
Jérémie Aliadière,3749522,2,44,91,1,5,0,0,0,1,0,0,0.027866354,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
Shaun Newton,3749522,2,44,88,1,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dean Sturridge,3749522,2,44,91,1,2,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
José Antonio Reyes Calderón,3749246,2,44,77,1,18,0,1,0,1,1,0,0.22808835,0,4,0,0,0,0,0,1,0,0,13,2,3,0,0,0,0,0
Thierry Henry,3749246,2,44,92,1,26,0,0,1,8,4,1,0.4142667287,0,3,1,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0
Laureano Bisan-Etame Mayer,3749246,2,44,91,1,34,0,0,0,1,1,0,0.107103646,0,3,2,0,0,1,2,1,0,0,8,1,1,0,0,0,0,0
Sulzeer Jeremiah ''Sol' Campbell,3749246,2,44,87,1,20,0,0,0,1,0,0,0.07371769,0,0,0,0,0,1,10,1,0,0,8,2,0,0,0,0,0,0
Gaël Clichy,3749246,2,44,91,1,45,0,0,0,0,0,0,0.0,0,2,1,0,0,6,9,4,0,0,16,1,0,0,0,0,0,0
Gary Neville,3749246,2,44,91,1,65,0,0,0,0,0,0,0.0,0,4,4,0,0,0,5,3,0,0,11,4,0,0,0,0,0,0
Mikaël Silvestre,3749246,2,44,92,1,32,0,0,0,0,0,0,0.0,0,0,0,0,0,1,8,0,0,0,16,3,0,0,0,0,0,0
John O''Shea,3749246,2,44,92,1,56,0,0,0,0,0,0,0.0,0,1,1,0,0,0,7,3,0,0,8,0,1,0,0,0,0,0
Kolo Habib Touré,3749246,2,44,92,1,24,0,0,0,0,0,0,0.0,0,0,0,0,0,1,10,1,0,0,11,1,0,0,0,0,0,0
Roy Keane,3749246,2,44,92,1,62,0,0,0,4,1,0,0.2981979059999999,0,0,0,0,0,0,5,5,0,0,13,2,2,0,0,0,0,0
Eric Daniel Djemba-Djemba,3749246,2,44,58,1,19,0,0,0,1,1,0,0.03400667,0,4,4,0,0,0,1,2,0,0,13,2,3,0,0,0,0,0
Jens Lehmann,3749246,2,44,90,1,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo César Daude Gaspar,3749246,2,44,91,1,39,0,0,0,2,0,0,0.0952052746,0,4,3,0,0,1,1,0,0,0,16,2,2,0,0,0,0,0
